Liam James,6231,Oliver Platt,22732,Tom McCarthy,15007
Colin Firth,0,Robin Wright,120563,Gary Oldman,0
Mila Kunis,0,Channing Tatum,8692274,Eddie Redmayne,407624
Alexander Skarsgï¿__ç€_rd,0,Christoph Waltz,0,Casper Crump,14449
Kiran Shah,1540,Jim Broadbent,0,Shane Rangi,0
Michael Fassbender,45301,Jennifer Lawrence,13156,Tye Sheridan,723
Heath Ledger,0,Christian Bale,56075,Morgan Freeman,27647
Delroy Lindo,313,John Ratzenberger,120265,Jess Harnell,0
Rainn Wilson,4392479,Amy Poehler,229402,Stephen Colbert,12797683
Jeff Bridges,160352,Robert Downey Jr.,7884478,Jon Favreau,451644
Christopher Lee,3457,Chloï¿__é”‘ Grace Moretz,0,Ray Winstone,2543
Salma Hayek,172862,Will Smith,390827,Bai Ling,14118
Brendan Fraser,564,Jet Li,0,Russell Wong,0
Robin Atkin Downes,0,Will Smith,390827,Ike Barinholtz,206093
Morgan Freeman,27647,Jimmy Bennett,513880,Steve Carell,5058203
Lara Pulver,97219,Tom Cruise,6183597,Noah Taylor,0
Rick Aviles,0,Jeanne Tripplehorn,276,Zakes Mokae,0
Dennis Quaid,1283,Joseph Gordon-Levitt,4216319,Leo Howard,386478
Mindy Kaling,8743089,Amy Poehler,229402,Phyllis Smith,0
Bill Murray,3176,Scarlett Johansson,0,Garry Shandling,577268
Scarlett Johansson,0,Robert Downey Jr.,7884478,Jon Favreau,451644
Kristen Stewart,35705,Chris Hemsworth,2277774,Sam Claflin,933297
Sharlto Copley,12991,Angelina Jolie Pitt,0,Sam Riley,5502
Judy Greer,88515,Gary Oldman,0,Kodi Smit-McPhee,16615
Alice Englert,6215,Tamsin Egerton,19428,Bipasha Basu,5150791
Cary-Hiroyuki Tagawa,10160,Keanu Reeves,63829,Jin Akanishi,551418
Chris Evans,5139181,Scarlett Johansson,0,Hayley Atwell,0
Kathy Griffin,2039880,Jon Hamm,0,Mary Kay Place,178
Chris Bauer,22444,Judy Greer,88515,Thomas Robinson,125224
Daniel Henney,124864,Damon Wayans Jr.,0,Abraham Benrubi,3929
Sarah Silverman,10179056,Jack McBrayer,0,Joe Lo Truglio,61004
Eddie Deezen,0,Tom Hanks,12743172,Peter Scolari,0
Sela Ward,112505,Vivica A. Fox,506462,Judd Hirsch,0
America Ferrera,150680,Gerard Butler,449827,Craig Ferguson,2765446
M.C. Gainey,0,Nick Stahl,0,Carolyn Hennesy,109934
Vin Diesel,42184,Bradley Cooper,15384,Djimon Hounsou,77708
Anne Hathaway,5848,Matthew McConaughey,2386187,Mackenzie Foy,60772
Tom Hardy,28551,Leonardo DiCaprio,17149366,Joseph Gordon-Levitt,4216319
Shin'ya Tsukamoto,0,Mark Chinnery,0,Atsuko Maeda,0
Adam Brown,2923,Aidan Turner,68058,James Nesbitt,0
Vin Diesel,42185,Paul Walker,2638588,Jordana Brewster,690605
Jason Flemyng,0,Brad Pitt,56075,Julia Ormond,19150
Michael Fassbender,45301,Jennifer Lawrence,13157,Oliver Platt,22732
Philip Seymour Hoffman,414,Jennifer Lawrence,13157,Josh Hutcherson,2990063
Omar Benson Miller,64778,Nicolas Cage,11021,Robert Capron,0
Mike Vogel,90195,Jimmy Bennett,513880,Andre Braugher,1871
Alan Rickman,57891,Johnny Depp,9107,Anne Hathaway,5848
Eric Idle,341759,Justin Timberlake,58224137,Rupert Everett,0
Callum Rennie,0,Dominic Cooper,102059,Ruth Negga,0
Emilia Clarke,535096,J.K. Simmons,180,Matt Smith,51476
Shane Rangi,0,Bruce Spence,0,Laura Brent,0
Jaime King,238953,Jennifer Garner,5484,Mako,22700
Michael O'Neill,5213,Zack Ward,83444,Kevin Dunn,0
Angelina Jolie Pitt,0,Anthony Hopkins,112668,Brian Blessed,71393
Daniel Radcliffe,5726,Robert Pattinson,0,Fiona Shaw,0
Daniel Radcliffe,5726,Robert Pattinson,0,Rupert Grint,0
Charlize Theron,511243,Will Smith,390828,Eddie Marsan,66288
Alice Braga,0,Will Smith,390828,Willow Smith,3807
Christopher Lee,3457,Johnny Depp,9107,David Kelly,0
John Ratzenberger,120265,Janeane Garofalo,919,Brian Dennehy,0
Liam Neeson,10699,Christian Bale,56075,Morgan Freeman,27647
Jada Pinkett Smith,958662,Bernie Mac,0,Cedric the Entertainer,1070395
Rami Malek,309213,Robin Williams,55828,Steve Coogan,0
Ryan Reynolds,4932410,Hugh Jackman,7721947,Dominic Monaghan,230245
Collin Chou,0,Essie Davis,0,Nona Gaye,0
Maurice LaMarche,34034,Josh Gad,227495,Livvy Stubenrauch,0
Daniel Bernhardt,0,Steve Bastoni,3075,Helmut Bakaitis,0
Natalie Portman,0,Chris Hemsworth,2277783,Anthony Hopkins,112668
Charlize Theron,511243,Tom Hardy,28551,Zoï¿__é”‘ Kravitz,0
Ayelet Zurer,723,Tom Hanks,12743225,Armin Mueller-Stahl,0
Natalie Portman,0,Chris Hemsworth,2277783,Anthony Hopkins,112668
Diedrich Bader,7765,Chloï¿__é”‘ Grace Moretz,0,James Lipton,0
Piper Mackenzie Harris,0,Kelli Garner,0,Niecy Nash,377514
Edgar Ramï¿___rez,1096813,Liam Neeson,10699,Lily James,0
Chloï¿__é”‘ Grace Moretz,0,Johnny Depp,9107,Christopher Lee,3457
Jeremy Renner,2421445,Tom Cruise,6183603,Sean Harris,0
Simon Merrells,5762,Anthony Hopkins,112668,Art Malik,0
