ROI,movie_title,plot,plot_sentiment_score,plot_keywords,genre,release_date,duration,director_name,actor_1,actor_1_followers,actor_2,actor_2_followers,actor_3,actor_3_followers,IMDB_Score,num_IMDB_reviews,metacritic_score,budget,gross,language,country,rating,aspect_ratio
0.34,Monsters University,A look at the relationship between Mike and Sulley during their days at Monsters University -- when they weren't necessarily the best of friends.,2,cheating|fraternity|monster|singing in a car|university,Animation Adventure Comedy,21-Jun-13,104,Dan Scanlon,Steve Buscemi,0,Tyler Labine,31507,Sean Hayes,333409,7.3,246631,65,200000000,200000000,English,USA,G,1.85
1.01,Transformers: Revenge of the Fallen,Sam Witwicky leaves the Autobots behind for a normal life. But when his mind is filled with cryptic symbols the Decepticons target him and he is dragged back into the Transformers' war.,1,autobot|decepticon|machine|sun|symbol,Action Adventure Sci-Fi,24-Jun-09,150,Michael Bay,Glenn Morshower,1344,Kevin Dunn,0,Ramon Rodriguez,27532,6,331939,35,200000000,200000000,English,USA,PG-13,2.35
0.17,Transformers: Age of Extinction,Autobots must escape sight from a bounty hunter who has taken control of the human serendipity: Unexpectedly Optimus Prime and his remaining gang turn to a mechanic his daughter and her back street racing boyfriend for help.,1,blockbuster|bumblebee the character|semi truck and trailer|texas|truck,Action Adventure Sci-Fi,27-Jun-14,165,Michael Bay,Bingbing Li,6754,Sophia Myles,25176,Kelsey Grammer,54661,5.7,251855,32,210000000,210000000,English,USA,PG-13,2.35
0.09,Oz the Great and Powerful,A frustrated circus magician from Kansas is transported to a magical land called Oz where he will have to fulfill a prophecy to become the king and release the land from the Wicked Witches using his great (but fake) powers.,3,circus|magic|magician|oz|witch,Adventure Family Fantasy,8-Mar-13,130,Sam Raimi,Tim Holmes,0,Mila Kunis,0,James Franco,83268,6.3,179745,44,215000000,215000000,English,USA,PG,2.35
0.01,The Amazing Spider-Man 2,When New York is put under siege by Oscorp it is up to Spider-Man to save the city he swore to protect as well as his loved ones.,1,costumed hero|death of girlfriend|masked vigilante|returning character killed off|teenager,Action Adventure Sci-Fi,2-May-14,142,Marc Webb,Emma Stone,79584,Andrew Garfield,0,B.J. Novak,1040413,6.7,333602,53,200000000,200000000,English,USA,PG-13,2.35
0.01,TRON: Legacy,The son of a virtual world designer goes looking for his father and ends up inside the digital world that his father designed. He meets his father's corrupted creation and a unique ally who was born inside the digital world.,1,arcade|bridge|disappearance|escape|warrior,Action Adventure Sci-Fi,17-Dec-10,125,Joseph Kosinski,Jeff Bridges,160352,Olivia Wilde,1832490,James Frain,9571,6.8,270310,49,170000000,170000000,English,USA,PG,2.35
-0.04,Cars 2,Star race car Lightning McQueen and his pal Mater head overseas to compete in the World Grand Prix race. But the road to the championship becomes rocky as Mater gets caught up in an intriguing adventure of his own: international espionage.,3,best friend|car race|conspiracy|gadget car|spy,Animation Adventure Comedy,24-Jun-11,106,John Lasseter,Joe Mantegna,600913,Thomas Kretschmann,0,Eddie Izzard,4680588,6.3,106243,57,200000000,200000000,English,USA,G,2.35
-0.42,Green Lantern,Reckless test pilot Hal Jordan is granted an alien ring that bestows him with otherworldly powers that inducts him into an intergalactic police force the Green Lantern Corps.,1,autopsy|lantern|planet|ring|test pilot,Action Adventure Sci-Fi,17-Jun-11,114,Martin Campbell,Ryan Reynolds,4932325,Temuera Morrison,0,Taika Waititi,114204,5.6,229043,39,200000000,200000000,English,USA,PG-13,2.35
1.07,Toy Story 3,The toys are mistakenly delivered to a day-care center instead of the attic right before Andy leaves for college and it's up to Woody to convince the other toys that they weren't abandoned and to return home.,1,college|day care|escape|teddy bear|toy,Animation Adventure Comedy,18-Jun-10,103,Lee Unkrich,Tom Hanks,12743172,John Ratzenberger,120265,Don Rickles,189553,8.3,571718,92,200000000,200000000,English,USA,G,1.85
-0.37,Terminator Salvation,In 2018 a mysterious new weapon in the war against the machines half-human and half-machine comes to John Connor on the eve of a resistance attack on Skynet. But whose side is he on and can he be trusted?,1,death row|future|machine|rescue|skynet,Action Adventure Sci-Fi,21-May-09,115,McG,Christian Bale,56075,Bryce Dallas Howard,72082,Common,3558590,6.6,292823,49,200000000,200000000,English,USA,PG-13,2.35
